Length of the Dictionary: 143
Word            Count          
_____________________              
unfinished      1              
larger          1              
never           1              
resolve         1              
died            1              
who             3              
so              3              
are             3              
liberty         1              
that            13             
they            3              
created         1              
add             1              
it              5              
the             11             
us              3              
world           1              
freedom         1              
as              1              
and             6              
dead            3              
a               7              
dedicated       4              
increased       1              
field           1              
for             5              
did             1              
remaining       1              
engaged         1              
ground          1              
devotion        2              
come            1              
ago             1              
under           1              
fought          1              
shall           3              
new             2              
of              5              
poor            1              
have            5              
proposition     1              
abraham         1              
to              8              
war             2              
portion         1              
any             1              
is              3              
people          3              
continent       1              
note            1              
not             5              
struggled       1              
which           2              
be              2              
forth           1              
those           1              
endure          1              
what            2              
on              2              
great           3              
testing         1              
resting         1              
now             1              
advanced        1              
forget          1              
measure         1              
highly          1              
or              2              
brought         1              
remember        1              
we              10             
years           1              
honored         1              
full            1              
met             1              
by              1              
this            4              
government      1              
god             1              
consecrated     1              
little          1              
far             2              
fathers         1              
19              1              
might           1              
fitting         1              
earth           1              
power           1              
detract         1              
birth           1              
before          1              
four            1              
rather          2              
altogether      1              
will            1              
say             1              
battlefield     1              
from            2              
our             2              
final           1              
nor             1              
lincoln         1              
long            2              
seven           1              
consecrate      1              
task            1              
conceived       2              
november        1              
last            1              
these           2              
thus            1              
but             2              
dedicate        2              
1863            1              
nation          5              
civil           1              
their           1              
lives           1              
living          2              
above           1              
vain            1              
here            8              
nobly           1              
equal           1              
work            1              
perish          1              
all             1              
cause           1              
do              1              
place           1              
gave            2              
brave           1              
score           1              
take            1              
whether         1              
sense           1              
can             5              
live            1              
men             2              
in              4              
